ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages,creation_date,start_date,stop_date,pct_young_male
388805314288081,1.15521E+15,AFP Action,2024-10-04,2024-10-04,2024-11-05,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)","Sherrod Brown voted for wide-open border policies. After 30 years in Washington, Brown has lost touch with Ohio.",Vote Bernie Moreno for U.S. Senate,afpaction.actcentr.com,A New Voice for OH,"lower_bound: 150000, upper_bound: 174999","lower_bound: 600, upper_bound: 699",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.068781},{""age"":""45-54"",""gender"":""male"",""percentage"":0.079205},{""age"":""65+"",""gender"":""male"",""percentage"":0.016096},{""age"":""65+"",""gender"":""female"",""percentage"":0.020542},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000511},{""age"":""55-64"",""gender"":""male"",""percentage"":0.039807},{""age"":""55-64"",""gender"":""female"",""percentage"":0.038453},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001048},{""age"":""45-54"",""gender"":""female"",""percentage"":0.072766},{""age"":""18-24"",""gender"":""male"",""percentage"":0.046884},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002095},{""age"":""35-44"",""gender"":""male"",""percentage"":0.138966},{""age"":""35-44"",""gender"":""female"",""percentage"":0.13424},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001456},{""age"":""25-34"",""gender"":""male"",""percentage"":0.164951},{""age"":""25-34"",""gender"":""female"",""percentage"":0.172667},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001124},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000409}","{""region"":""Ohio"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",,2024-10-04,2024-10-04,2024-11-05,0.211835
3.59926E+15,1.15521E+15,AFP Action,2024-10-04,2024-10-04,2024-11-06,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)","Sherrod Brown voted for wide-open border policies. After 30 years in Washington, Brown has lost touch with Ohio.",Vote Bernie Moreno for U.S. Senate,afpaction.actcentr.com,A New Voice for OH,"lower_bound: 90000, upper_bound: 99999","lower_bound: 400, upper_bound: 499",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.043065},{""age"":""45-54"",""gender"":""male"",""percentage"":0.117619},{""age"":""65+"",""gender"":""male"",""percentage"":0.049664},{""age"":""65+"",""gender"":""female"",""percentage"":0.04096},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000939},{""age"":""55-64"",""gender"":""male"",""percentage"":0.090454},{""age"":""55-64"",""gender"":""female"",""percentage"":0.056662},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001394},{""age"":""45-54"",""gender"":""female"",""percentage"":0.072164},{""age"":""18-24"",""gender"":""male"",""percentage"":0.061753},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001764},{""age"":""35-44"",""gender"":""male"",""percentage"":0.145437},{""age"":""35-44"",""gender"":""female"",""percentage"":0.0962},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000796},{""age"":""25-34"",""gender"":""male"",""percentage"":0.139521},{""age"":""25-34"",""gender"":""female"",""percentage"":0.080498},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00074},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00037}","{""region"":""Ohio"",""percentage"":1}","facebook,instagram",lower_bound: 1000001,,2024-10-04,2024-10-04,2024-11-06,0.201274
1.23782E+15,104253615152700,America First Legal,2024-07-26,2024-07-26,2024-08-06,America First Legal Foundation,LAST CHANCE TO DOUBLE YOUR IMPACT!,The deadline is approaching fast. Have you made your impact?,secure.winred.com,"America First Legal is leading the charge to protect our country against the radical left. We need your support to defend our Constitution and values. Urgent legal actions are required to secure our elections, including resisting government weaponization, preventing illegal immigration, upholding el...","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002538},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002538},{""age"":""45-54"",""gender"":""female"",""percentage"":0.022843},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002538},{""age"":""18-24"",""gender"":""male"",""percentage"":0.050761},{""age"":""55-64"",""gender"":""male"",""percentage"":0.096447},{""age"":""35-44"",""gender"":""male"",""percentage"":0.038071},{""age"":""25-34"",""gender"":""male"",""percentage"":0.182741},{""age"":""18-24"",""gender"":""female"",""percentage"":0.020305},{""age"":""65+"",""gender"":""male"",""percentage"":0.271574},{""age"":""65+"",""gender"":""female"",""percentage"":0.164975},{""age"":""25-34"",""gender"":""female"",""percentage"":0.020305},{""age"":""35-44"",""gender"":""female"",""percentage"":0.010152},{""age"":""55-64"",""gender"":""female"",""percentage"":0.076142},{""age"":""45-54"",""gender"":""male"",""percentage"":0.038071}","{""region"":""Kansas"",""percentage"":0.002532},{""region"":""Ohio"",""percentage"":0.025316},{""region"":""Florida"",""percentage"":0.078481},{""region"":""Illinois"",""percentage"":0.032911},{""region"":""Iowa"",""percentage"":0.007595},{""region"":""Minnesota"",""percentage"":0.01519},{""region"":""Missouri"",""percentage"":0.040506},{""region"":""Nevada"",""percentage"":0.010127},{""region"":""New Mexico"",""percentage"":0.01519},{""region"":""North Carolina"",""percentage"":0.03038},{""region"":""Oklahoma"",""percentage"":0.01519},{""region"":""Colorado"",""percentage"":0.022785},{""region"":""Oregon"",""percentage"":0.010127},{""region"":""Pennsylvania"",""percentage"":0.03038},{""region"":""Tennessee"",""percentage"":0.037975},{""region"":""Utah"",""percentage"":0.007595},{""region"":""Washington"",""percentage"":0.017722},{""region"":""Delaware"",""percentage"":0.007595},{""region"":""Michigan"",""percentage"":0.040506},{""region"":""New York"",""percentage"":0.065823},{""region"":""Texas"",""percentage"":0.101266},{""region"":""Connecticut"",""percentage"":0.005063},{""region"":""California"",""percentage"":0.086076},{""region"":""Georgia"",""percentage"":0.01519},{""region"":""New Jersey"",""percentage"":0.022785},{""region"":""Indiana"",""percentage"":0.025316},{""region"":""Kentucky"",""percentage"":0.022785},{""region"":""Louisiana"",""percentage"":0.012658},{""region"":""Maine"",""percentage"":0.005063},{""region"":""Maryland"",""percentage"":0.025316},{""region"":""Massachusetts"",""percentage"":0.007595},{""region"":""Mississippi"",""percentage"":0.007595},{""region"":""Nebraska"",""percentage"":0.010127},{""region"":""New Hampshire"",""percentage"":0.007595},{""region"":""South Carolina"",""percentage"":0.005063},{""region"":""Arkansas"",""percentage"":0.01519},{""region"":""Virginia"",""percentage"":0.03038},{""region"":""West Virginia"",""percentage"":0.007595},{""region"":""Wisconsin"",""percentage"":0.01519},{""region"":""Washington, District of Columbia"",""percentage"":0.002532},{""region"":""Hawaii"",""percentage"":0.002532},{""region"":""Rhode Island"",""percentage"":0.002532},{""region"":""South Dakota"",""percentage"":0.002532},{""region"":""Alabama"",""percentage"":0.017722},{""region"":""Arizona"",""percentage"":0.027848},{""region"":""Vermont"",""percentage"":0.002532}","facebook,instagram",lower_bound: 1000001,en,2024-07-26,2024-07-26,2024-08-06,0.233502
401837066114464,318975057964832,America PAC,2024-10-04,2024-10-07,2024-10-07,America PAC,"Yadira Caraveo can’t be trusted to protect Colorado families.
 
She supported efforts to defund both the Immigration and Customs Enforcement and Customs and Border Protection. Now, Colorado has been flooded with migrants.",ACTION REQUIRED!,join.theamericapac.org,Defeat Caraveo. Vote Evans!,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.02193},{""age"":""18-24"",""gender"":""male"",""percentage"":0.04386},{""age"":""25-34"",""gender"":""female"",""percentage"":0.144737},{""age"":""25-34"",""gender"":""male"",""percentage"":0.171053},{""age"":""35-44"",""gender"":""female"",""percentage"":0.122807},{""age"":""35-44"",""gender"":""male"",""percentage"":0.131579},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004386},{""age"":""45-54"",""gender"":""female"",""percentage"":0.074561},{""age"":""45-54"",""gender"":""male"",""percentage"":0.109649},{""age"":""55-64"",""gender"":""female"",""percentage"":0.035088},{""age"":""55-64"",""gender"":""male"",""percentage"":0.052632},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004386},{""age"":""65+"",""gender"":""female"",""percentage"":0.052632},{""age"":""65+"",""gender"":""male"",""percentage"":0.030702}","{""region"":""Colorado"",""percentage"":1}",facebook,"lower_bound: 10001, upper_bound: 50000",en,2024-10-04,2024-10-07,2024-10-07,0.214913
536986509126120,318975057964832,America PAC,2024-10-28,2024-10-28,2024-11-05,America PAC,"Yadira Caraveo has flooded Colorado with illegal immigration and even thinks the border crisis is a non-existent threat! Maybe that’s why she pushed to defund the border patrol…

Caraveo is the WRONG choice for Colorado!",Radical Yadira Caraveo…,votesafe.org/,Supports Illegal Immigration.,"lower_bound: 8000, upper_bound: 8999","lower_bound: 300, upper_bound: 399",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.033306},{""age"":""45-54"",""gender"":""female"",""percentage"":0.059572},{""age"":""65+"",""gender"":""male"",""percentage"":0.050095},{""age"":""65+"",""gender"":""female"",""percentage"":0.056052},{""age"":""55-64"",""gender"":""male"",""percentage"":0.074465},{""age"":""55-64"",""gender"":""female"",""percentage"":0.056323},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001083},{""age"":""45-54"",""gender"":""male"",""percentage"":0.110479},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002166},{""age"":""18-24"",""gender"":""male"",""percentage"":0.067966},{""age"":""35-44"",""gender"":""male"",""percentage"":0.171135},{""age"":""35-44"",""gender"":""female"",""percentage"":0.085297},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001083},{""age"":""25-34"",""gender"":""male"",""percentage"":0.158408},{""age"":""25-34"",""gender"":""female"",""percentage"":0.070133},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002166},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000271}","{""region"":""Colorado"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",en,2024-10-28,2024-10-28,2024-11-05,0.226374
923540492982743,318975057964832,America PAC,2024-10-28,2024-10-28,2024-11-06,America PAC,"Yadira Caraveo called the border crisis a “non-existent threat.”

She even vowed to defund border patrol AND flooded Colorado with illegal immigrants! Yadira Caraveo is weak on illegal immigration. Reject her.",Who Is Yadira Caraveo?,votesafe.org/,She’s Weak on Illegal Immigration!,"lower_bound: 50000, upper_bound: 59999","lower_bound: 2500, upper_bound: 2999",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.041799},{""age"":""45-54"",""gender"":""male"",""percentage"":0.102867},{""age"":""65+"",""gender"":""male"",""percentage"":0.03733},{""age"":""65+"",""gender"":""female"",""percentage"":0.045429},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000652},{""age"":""55-64"",""gender"":""male"",""percentage"":0.065165},{""age"":""55-64"",""gender"":""female"",""percentage"":0.059486},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001303},{""age"":""45-54"",""gender"":""female"",""percentage"":0.077081},{""age"":""18-24"",""gender"":""male"",""percentage"":0.057252},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002048},{""age"":""35-44"",""gender"":""male"",""percentage"":0.160398},{""age"":""35-44"",""gender"":""female"",""percentage"":0.098306},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001024},{""age"":""25-34"",""gender"":""male"",""percentage"":0.155744},{""age"":""25-34"",""gender"":""female"",""percentage"":0.092162},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001396},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000559}","{""region"":""Colorado"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",en,2024-10-28,2024-10-28,2024-11-06,0.212996
2.26134E+15,49421708941,Americans for Limited Government,2024-10-28,2024-10-28,2024-11-06,AMERICANS FOR LIMITED GOVERNMENT IN,"Tens of thousands of violent, convicted criminals are being let into the U.S. by the Biden-Harris Department of Homeland Security, according to the latest data from Immigration and Customs Enforcement (ICE) released on Sept. 25 via Congressional oversight by U.S. Rep. Tony Gonzales (R-Texas). The numbers were breathtaking: 13,376 convicted murderers, 16,120 convicted of sexual assault, 64,579 convicted of assault, 43,546 convicted of burglary, larceny or robbery, 13,876 convicted of weapons offenses, 2,606 convicted of kidnapping and 2,218 convicted of commercialized sexual offenses — all before they ever came to America and were released into the country by the federal government. According to the House Homeland Security Committee release on Sept. 27, “they had previously been encountered by CBP, turned over to ICE, had their criminal history documented, and then were released into the United States.” The vast majority of these convicted criminals — 151,851 out of 156,521, or 97 percent — were not currently detained by ICE, with only 4,670 are detention and subject to removal. Of the convicted murderers, the numbers are even worse: only 277 are in detention, or just 2.2 percent. The rest are apparently just roaming around. But now Harris is promising that when she is in office — apparently heedless that she has already been in office for almost four years — to complete her border visit checkbox photo opportunity, posted on X on Sept. 29, “As president, I will secure our border, disrupt the flow of fentanyl coming into the United States, and work to fix our broken system of immigration.” But one of the things “broken” is the Biden-Harris administration’s propensity to release convicted criminals into the U.S., simply out of incompetence or worse, on purpose. 156,521 out of 8.3 million who have crossed the border since 2021, that’s a 1.87 percent violent crime rate, almost 2 out of every 100 let into the country, are convicted, violent criminals. Compare that to the national violent crime rate, which includes murder, manslaughter, rape and robbery, of 0.36 percent, or 363.8 out of every 100,000 — that’s five times the national violent crime rate. Perhaps Kamala Harris does not need to visit the southern border to find out why this is happening, but by visiting the Oval Office, the Department of Homeland Security and by looking in the mirror. What do you think?","Donald Trump was right, says, ‘I told you so’ as 151,000 violent convicted criminals released into U.S. as Kamala Harris visits southern border to find out what’s going on",dailytorch.com,"By Robert Romano “I say, I told you so.” That was former President Donald Trump’s reaction at a Michigan rally on Sept. 27 of tens of thousands of violent, convicted criminals being let into the U.S. by the Biden-Harris Department of Homeland Security, according to the latest data from Immigra...","lower_bound: 70000, upper_bound: 79999","lower_bound: 300, upper_bound: 399",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.009581},{""age"":""18-24"",""gender"":""male"",""percentage"":0.04199},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000858},{""age"":""25-34"",""gender"":""female"",""percentage"":0.048347},{""age"":""25-34"",""gender"":""male"",""percentage"":0.217631},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001717},{""age"":""35-44"",""gender"":""female"",""percentage"":0.122608},{""age"":""35-44"",""gender"":""male"",""percentage"":0.427445},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004269},{""age"":""45-54"",""gender"":""female"",""percentage"":0.032316},{""age"":""45-54"",""gender"":""male"",""percentage"":0.092518},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000719}","{""region"":""Arizona"",""percentage"":0.088439},{""region"":""Montana"",""percentage"":0.027257},{""region"":""Virginia"",""percentage"":0.07614},{""region"":""Rhode Island"",""percentage"":0.000721},{""region"":""Pennsylvania"",""percentage"":0.102068},{""region"":""North Carolina"",""percentage"":0.15505},{""region"":""New York"",""percentage"":0.092945},{""region"":""New Jersey"",""percentage"":0.052757},{""region"":""Missouri"",""percentage"":0.001149},{""region"":""California"",""percentage"":0.112408},{""region"":""Michigan"",""percentage"":0.072919},{""region"":""Maryland"",""percentage"":0.017323},{""region"":""Iowa"",""percentage"":0.028451},{""region"":""Georgia"",""percentage"":0.129708},{""region"":""Delaware"",""percentage"":0.000113},{""region"":""Connecticut"",""percentage"":0.035817},{""region"":""West Virginia"",""percentage"":0.006735}","facebook,instagram",lower_bound: 1000001,en,2024-10-28,2024-10-28,2024-11-06,0.259621
558935619909678,402483809875832,Ann Bollin for State Representative,2024-09-26,2024-09-27,2024-10-18,"Ann Bollin for State Rep, 100 Orndorf # 1435, Brighton MI 48116",Ann Bollin is fighting for a safer Michigan and is working to protect Michigan families. Vote Ann Bollin for State Representative.,Vote Ann Bollin for State Representative,www.annbollin.com,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 400, upper_bound: 499",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.039143},{""age"":""45-54"",""gender"":""male"",""percentage"":0.117159},{""age"":""65+"",""gender"":""male"",""percentage"":0.06566},{""age"":""65+"",""gender"":""female"",""percentage"":0.046627},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001077},{""age"":""55-64"",""gender"":""male"",""percentage"":0.099903},{""age"":""55-64"",""gender"":""female"",""percentage"":0.053761},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0014},{""age"":""45-54"",""gender"":""female"",""percentage"":0.054192},{""age"":""18-24"",""gender"":""male"",""percentage"":0.066764},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001777},{""age"":""35-44"",""gender"":""male"",""percentage"":0.15431},{""age"":""35-44"",""gender"":""female"",""percentage"":0.076347},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000969},{""age"":""25-34"",""gender"":""male"",""percentage"":0.15108},{""age"":""25-34"",""gender"":""female"",""percentage"":0.068137},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001104},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000592}","{""region"":""Michigan"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",,2024-09-26,2024-09-27,2024-10-18,0.217844
1.01351E+15,133753583953215,The Common-Sense Guide to American History,2024-08-03,2024-08-03,2024-08-05,The Common-Sense Guide to American History,"Given that she's been a TRIVIAL/ FRIVOLOUS figure until now, Kamala Harris did not make the first cut to be in THE COMMON-SENSE GUIDE TO AMERICAN HISTORY. After the Dems' SWITCHEROO less than two weeks ago this is no longer the case. Her allegiance is to the Democrat Party, NOT the American People. This TRUTH must be told! Get the E-book and start reading IMMEDIATELY! This is a excerpt from Chapter 13:",The Common-Sense Guide to American History,amazon.com,The Common-Sense Guide to American History,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.009932},{""age"":""25-34"",""gender"":""female"",""percentage"":0.030416},{""age"":""35-44"",""gender"":""male"",""percentage"":0.44941},{""age"":""18-24"",""gender"":""male"",""percentage"":0.094351},{""age"":""25-34"",""gender"":""male"",""percentage"":0.382371},{""age"":""35-44"",""gender"":""female"",""percentage"":0.02545},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003104},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003104},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001862}","{""region"":""Alabama"",""percentage"":0.03127},{""region"":""Rhode Island"",""percentage"":0.001876},{""region"":""New Jersey"",""percentage"":0.017511},{""region"":""New Mexico"",""percentage"":0.010006},{""region"":""New York"",""percentage"":0.028143},{""region"":""North Carolina"",""percentage"":0.033146},{""region"":""North Dakota"",""percentage"":0.006879},{""region"":""Ohio"",""percentage"":0.049406},{""region"":""Oklahoma"",""percentage"":0.023765},{""region"":""Oregon"",""percentage"":0.012508},{""region"":""Pennsylvania"",""percentage"":0.05566},{""region"":""South Carolina"",""percentage"":0.014384},{""region"":""Nevada"",""percentage"":0.005003},{""region"":""South Dakota"",""percentage"":0.007505},{""region"":""Tennessee"",""percentage"":0.03252},{""region"":""Texas"",""percentage"":0.089431},{""region"":""Utah"",""percentage"":0.015009},{""region"":""Vermont"",""percentage"":0.005629},{""region"":""Virginia"",""percentage"":0.019387},{""region"":""Washington"",""percentage"":0.016886},{""region"":""West Virginia"",""percentage"":0.008755},{""region"":""Wisconsin"",""percentage"":0.030644},{""region"":""Wyoming"",""percentage"":0.004378},{""region"":""New Hampshire"",""percentage"":0.003127},{""region"":""Nebraska"",""percentage"":0.014384},{""region"":""Alaska"",""percentage"":0.001876},{""region"":""Indiana"",""percentage"":0.030019},{""region"":""Arizona"",""percentage"":0.019387},{""region"":""Arkansas"",""percentage"":0.010006},{""region"":""California"",""percentage"":0.031895},{""region"":""Colorado"",""percentage"":0.012508},{""region"":""Connecticut"",""percentage"":0.009381},{""region"":""Florida"",""percentage"":0.048155},{""region"":""Georgia"",""percentage"":0.035647},{""region"":""Hawaii"",""percentage"":0.003752},{""region"":""Idaho"",""percentage"":0.009381},{""region"":""Illinois"",""percentage"":0.030019},{""region"":""Iowa"",""percentage"":0.015009},{""region"":""Montana"",""percentage"":0.005629},{""region"":""Kansas"",""percentage"":0.015009},{""region"":""Kentucky"",""percentage"":0.02439},{""region"":""Louisiana"",""percentage"":0.020638},{""region"":""Maine"",""percentage"":0.005003},{""region"":""Maryland"",""percentage"":0.010006},{""region"":""Massachusetts"",""percentage"":0.015009},{""region"":""Michigan"",""percentage"":0.035647},{""region"":""Minnesota"",""percentage"":0.027517},{""region"":""Mississippi"",""percentage"":0.016886},{""region"":""Missouri"",""percentage"":0.028143},{""region"":""Delaware"",""percentage"":0.001876}",facebook,lower_bound: 1000001,en,2024-08-03,2024-08-03,2024-08-05,0.476722
479091181586197,203805062990264,Ben Shapiro,2024-08-27,2024-08-27,2024-09-05,The Daily Wire,"How did fentanyl become the leading cause of death in adults ages 18-45? There's no mystery there. Biden's policies are to blame. Join me on the ground as I show the real world effects of Biden's horrendous policies in the latest episode of my new series, The Divided States of Biden.,How did fentanyl become the leading cause of death in adults ages 18-45? There's no mystery there. Biden's policies are to blame. Join me on the ground as I show the real world effects of Biden's horrendous policies in the latest episode of my new series, The Divided States of Biden.,How did fentanyl become the leading cause of death in adults ages 18-45? There's no mystery there. Biden's policies are to blame. Join me on the ground as I show the real world effects of Biden's horrendous policies in the latest episode of my new series, The Divided States of Biden.","Watch The Divided States of Biden Now 🗽,Watch The Divided States of Biden Now 🗽,See The Divided States of Biden on DailyWire+",get.dailywire.com,"Joe Biden is tearing America apart, and the media refuses to report on the impact of Biden’s treasonous policies. Join Ben Shapiro on the ground as he explores the real world consequences of one of the most destructive presidencies in American history.,Joe Biden is tearing America apart, and the media refuses to report on the impact of Biden’s treasonous policies. Join Ben Shapiro on the ground as he explores the real world consequences of one of the most destructive presidencies in American history.,Joe Biden is tearing America apart, and the media refuses to report on the impact of Biden’s treasonous policies. Join Ben Shapiro on the ground as he explores the real world consequences of one of the most destructive presidencies in American history.",lower_bound: 1000000,"lower_bound: 7000, upper_bound: 7999",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000141},{""age"":""45-54"",""gender"":""female"",""percentage"":0.01896},{""age"":""18-24"",""gender"":""female"",""percentage"":0.001586},{""age"":""25-34"",""gender"":""female"",""percentage"":0.010001},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001816},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000997},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000644},{""age"":""35-44"",""gender"":""female"",""percentage"":0.020774},{""age"":""18-24"",""gender"":""male"",""percentage"":0.035224},{""age"":""65+"",""gender"":""female"",""percentage"":0.018603},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001246},{""age"":""25-34"",""gender"":""male"",""percentage"":0.203705},{""age"":""45-54"",""gender"":""male"",""percentage"":0.190676},{""age"":""55-64"",""gender"":""male"",""percentage"":0.151247},{""age"":""35-44"",""gender"":""male"",""percentage"":0.248842},{""age"":""55-64"",""gender"":""female"",""percentage"":0.025103},{""age"":""65+"",""gender"":""male"",""percentage"":0.06979},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000646}","{""region"":""Unknown"",""percentage"":7.0e-6},{""region"":""Pennsylvania"",""percentage"":0.039453},{""region"":""Nevada"",""percentage"":0.00649},{""region"":""New Hampshire"",""percentage"":0.005527},{""region"":""New Jersey"",""percentage"":0.015047},{""region"":""New Mexico"",""percentage"":0.005646},{""region"":""New York"",""percentage"":0.032734},{""region"":""North Carolina"",""percentage"":0.032038},{""region"":""North Dakota"",""percentage"":0.004582},{""region"":""Ohio"",""percentage"":0.042589},{""region"":""Oklahoma"",""percentage"":0.020471},{""region"":""Oregon"",""percentage"":0.01485},{""region"":""Rhode Island"",""percentage"":0.002816},{""region"":""Montana"",""percentage"":0.005217},{""region"":""South Carolina"",""percentage"":0.017567},{""region"":""South Dakota"",""percentage"":0.005255},{""region"":""Tennessee"",""percentage"":0.02764},{""region"":""Texas"",""percentage"":0.096191},{""region"":""Utah"",""percentage"":0.011499},{""region"":""Vermont"",""percentage"":0.002818},{""region"":""Virginia"",""percentage"":0.024947},{""region"":""Washington"",""percentage"":0.020266},{""region"":""West Virginia"",""percentage"":0.009614},{""region"":""Wisconsin"",""percentage"":0.023974},{""region"":""Nebraska"",""percentage"":0.009391},{""region"":""Missouri"",""percentage"":0.029697},{""region"":""Alabama"",""percentage"":0.021147},{""region"":""Hawaii"",""percentage"":0.004092},{""region"":""Alaska"",""percentage"":0.004972},{""region"":""Arizona"",""percentage"":0.020363},{""region"":""Arkansas"",""percentage"":0.014976},{""region"":""California"",""percentage"":0.058002},{""region"":""Colorado"",""percentage"":0.016895},{""region"":""Connecticut"",""percentage"":0.009894},{""region"":""Delaware"",""percentage"":0.002491},{""region"":""Washington, District of Columbia"",""percentage"":0.000465},{""region"":""Florida"",""percentage"":0.059681},{""region"":""Georgia"",""percentage"":0.028343},{""region"":""Idaho"",""percentage"":0.010054},{""region"":""Mississippi"",""percentage"":0.012895},{""region"":""Illinois"",""percentage"":0.035071},{""region"":""Indiana"",""percentage"":0.030086},{""region"":""Iowa"",""percentage"":0.014841},{""region"":""Kansas"",""percentage"":0.016057},{""region"":""Kentucky"",""percentage"":0.022046},{""region"":""Louisiana"",""percentage"":0.016715},{""region"":""Maine"",""percentage"":0.007044},{""region"":""Maryland"",""percentage"":0.011464},{""region"":""Massachusetts"",""percentage"":0.014768},{""region"":""Michigan"",""percentage"":0.035741},{""region"":""Minnesota"",""percentage"":0.021726},{""region"":""Wyoming"",""percentage"":0.003845}","facebook,instagram",lower_bound: 1000001,en,2024-08-27,2024-08-27,2024-09-05,0.238929
